"","logFC","logCPM","LR","PValue","FDR"
"Olfr461",3.16947956088236,-3.61035574566907,10.045836492499,0.00152692651718736,0.004726218525797
"Bcat1",3.16903285244713,-3.73180740459079,5.83181471049528,0.0157388798405428,0.0393502421066423
"Ighv8-12",3.16802982210209,-3.20137374562197,7.96189124230185,0.00477724707971663,0.0133969048364083
"Gm19667",3.16662944213159,-3.62234263869256,7.06265782931254,0.00787071430208735,0.0211041532965786
"Gm11110",3.16662045410338,-3.17532598349178,9.85237980126384,0.0016961220217743,0.00520137383962486
"Galnt12",3.16319832294586,-0.985447771227595,48.1854555009107,3.87753853601734e-12,3.58856133492525e-11
"Reep2",3.16307355643809,-1.69308874529153,30.8614165669067,2.77127018161161e-08,1.67643699222983e-07
"Rassf10",3.16162344514819,-0.0758940407539783,71.6576614750149,2.55966281113957e-17,3.95052493650044e-16
"Fbxw15",3.16121093595329,-2.5522443183266,11.1309063390799,0.000849010962599698,0.00274895062830973
"Gm13032",3.16104461112383,-3.58356085545078,6.39006377478328,0.0114760905289055,0.0296525855270401
"Pak6",3.16028358452379,1.12629565368417,173.597905956356,1.21169920893848e-39,1.21484586967487e-37
"Map3k19",3.16007072387043,-2.83012252160891,13.5883191149719,0.000227597335406506,0.000815184197585169
"Pitpnm3",3.15825195489867,-0.365282289428469,68.4667380343362,1.29035824951625e-16,1.86989898264633e-15
"Tenm1",3.15807345209692,-3.74430634385165,6.8368667290981,0.00892953277173232,0.0236611579805777
"Vmn2r-ps54",3.15798352457948,-3.47474456497413,6.13617302615571,0.0132443652456093,0.0337230038200784
"Gm19998",3.15653963246354,-1.99688163565599,50.5543734061075,1.15908611116953e-12,1.13139926179706e-11
"1700021A07Rik",3.15621898719731,-3.67943841059394,5.40824580841597,0.0200418461835878,0.0486964526799611
"Clec2l",3.15551776164147,-3.61873956775788,5.88961799841695,0.0152304038349504,0.0382008005428742
"Nhlh1",3.15521228465106,-3.79781617264962,5.98405433900328,0.0144357802352612,0.0364160646913889
"Gpx2-ps1",3.15448458130435,-2.36325490730529,19.2398033006793,1.1528447255215e-05,5.04237986389323e-05
"5430437J10Rik",3.15387625619606,-2.59531055318361,12.3117725130348,0.000450110331264704,0.00152996109577189
"Angpt2",3.15088728105433,0.629650983745546,129.574478059429,5.07750726732793e-30,2.37934566094151e-28
"Gm13271",3.15028024118758,-3.35423145068919,10.8633046417792,0.000980885050502781,0.00314483807651902
"Rnf223",3.14724410293309,-3.00996835704623,14.9455086336524,0.000110661172943893,0.000418184450042319
"Prkab2",3.14423896481376,1.89158867939278,198.910722137259,3.61027161725901e-45,5.76462320516289e-43
"Capsl",3.1393346455383,-0.888118296211977,45.2603849738841,1.72503386318881e-11,1.4868860692804e-10
"Ttll10",3.13832868236381,-0.712826442493396,46.1766127541442,1.08059200230901e-11,9.53656544651214e-11
"Tet1",3.13673572603161,-1.26841726287475,57.4654708438984,3.43964993233447e-14,3.91436096787047e-13
"Itga6",3.13664773957618,1.75686425720457,66.3667874035055,3.74356996824205e-16,5.16177635226637e-15
"Gm13276",3.13595806362246,-2.43224329931758,29.0994024244635,6.87581894885027e-08,3.97445382681363e-07
"Il17re",3.1356286284995,0.495870215822502,73.4206403561656,1.04764801450098e-17,1.67694994994411e-16
"Lgi2",3.13315396648491,-1.43431137835698,21.5783250873845,3.39668855943728e-06,1.59084090108572e-05
"Ugt8a",3.13259410669692,-0.224702456080529,73.2610531466229,1.13587289535955e-17,1.81144415439367e-16
"Cmya5",3.13239357861316,0.282962983366558,8.61688735539092,0.00333060507097532,0.0096281584008626
"Gm10824",3.13177683980764,-2.18937402215607,17.6811253942803,2.61205665383295e-05,0.000108837096431535
"Ogdhl",3.13073255823778,-2.38904053618047,20.3979959355035,6.28956264172116e-06,2.85124635214513e-05
"Cldn8",3.12947883543836,0.659729428945159,78.178518405291,9.41366977822705e-19,1.67356286016082e-17
"Smpdl3b",3.1292800950367,-0.308596195443744,83.6222158904171,5.98961692949376e-20,1.17462790837919e-18
