"","logFC","logCPM","LR","PValue","FDR"
"Upp2",-1.84997732764735,6.53610755128136,15.3442995963246,8.95908327828564e-05,0.000397299172225981
"Slc22a29",-1.85059793523445,3.54762450209958,70.46085493058,4.69490698881198e-17,9.87342756744711e-16
"Acss3",-1.85066418462014,2.50793155110056,17.3465708654548,3.11459750015671e-05,0.000149582795277671
"Mirlet7c-2",-1.85154890528378,-3.2711066935385,7.14340365510031,0.00752402189948655,0.0222885793030255
"Zbtb7c",-1.85751673839703,1.27032547935236,46.8377914129657,7.71119785165376e-12,9.17927081586414e-11
"Ugt3a2",-1.86494485869229,7.53134774186358,168.448310757379,1.61465517874262e-38,1.91588465635483e-36
"Plag1",-1.86850638698463,-2.52208289301484,15.2679752714194,9.3284730398973e-05,0.000412266550697119
"Bhlhe41",-1.87447638503832,0.276909985649503,19.4861243532224,1.01333114056505e-05,5.2570871666659e-05
"Nat8f1",-1.87717693868281,7.00935895606996,72.0392599731167,2.10958226287583e-17,4.59331350116238e-16
"Etnppl",-1.88154036876248,6.61063183679618,72.5439266268457,1.63355171170582e-17,3.59311922846041e-16
"Ccn6",-1.88881801407895,-1.79979132484119,20.8335726787779,5.00970587937005e-06,2.73157803502666e-05
"BC048644",-1.89048769107038,-0.0147433001661034,33.0417668389039,9.02001987620531e-09,7.23475516706365e-08
"Cmah",-1.90205280297106,6.70652998923704,112.528261631755,2.73735103134659e-26,1.37489435199694e-24
"Piwil1",-1.90570577261364,-3.79302875742901,5.73034475583649,0.0166742088657612,0.0450033139326634
"Gm5860",-1.90688221206464,-2.81703492620567,8.70671312692188,0.00317040330291086,0.0102703597039944
"Ttc39c",-1.90707932133646,7.53769941761866,130.394685404464,3.35888314600952e-30,2.32310776304353e-28
"Stx19",-1.91486967307223,-3.71267720183214,5.96990638925407,0.0145520533078655,0.0399001444683651
"Six3",-1.91709960935714,-3.80497470972673,5.68207103154357,0.0171391253924127,0.0460706387327799
"4930487H11Rik",-1.91828166317081,-3.63962245057753,5.70723786066603,0.0168951025319408,0.0455140197035736
"Arl4d",-1.91853420033642,5.22487119288129,37.9488697363709,7.26231307933639e-10,6.77440506394499e-09
"Aadat",-1.92095851213673,5.63423394954218,184.280044448214,5.6360148833886e-42,8.42698248489091e-40
"Gm16793",-1.92236035848502,-0.537438157693412,49.4802344739452,2.00380439657024e-12,2.54579608674275e-11
"Slc28a1",-1.92399047259643,-2.2042448897469,18.4265498365841,1.76580456163373e-05,8.8075716536405e-05
"Lrrc18",-1.92538596923273,-2.25622510223087,21.3093414102819,3.90822370206198e-06,2.16392400259476e-05
"Lrp2bp",-1.92729705409074,0.366205090946284,31.7256267129032,1.77563682401446e-08,1.36779028370405e-07
"Fn3k",-1.93008959053701,3.27940262364253,42.6032665611722,6.70473227217011e-11,7.09040513835749e-10
"Ntm",-1.9321888308648,-1.13630245020759,30.2604595233753,3.77748652762613e-08,2.79817422709351e-07
"2310001H17Rik",-1.93638302963931,2.82438155806495,76.3853955790402,2.33370790449397e-18,5.50282792757937e-17
"Syt3",-1.94452482059622,1.78867169244001,88.2057584023851,5.89879340766038e-21,1.79934067306546e-19
"Klkb1",-1.95153005939323,6.76100045348703,167.163690575286,3.08087888293077e-38,3.49531114319167e-36
"Il1rap",-1.95374256713677,6.43320702651151,196.815247899782,1.03476891285202e-44,1.96811525505465e-42
"Unc93a",-1.97423141045185,1.03520104559446,34.7616120306775,3.72649355622192e-09,3.16874453710691e-08
"Xlr4d-ps",-1.97883604157046,-1.74112029416876,12.3401220103902,0.000443326045482444,0.00171669383510395
"Mir192",-1.97947571720654,-3.37196834537604,8.94372407006475,0.00278424504559595,0.0091547052999149
"BC024139",-1.98061142544051,1.38418904038612,62.2883287884515,2.96678147562398e-15,5.19578445700511e-14
"St8sia3os",-1.98885128056265,-3.4229359938414,7.19550350087945,0.00730864811805761,0.0217177255450656
"Pdilt",-1.9930379757927,2.61556766381411,141.518371326069,1.23934827021323e-32,9.86406821710941e-31
"Cadm4",-2.00018446809946,2.59324712903761,156.712669116388,5.91474309730959e-36,5.68760816721588e-34
"Cyp2c67",-2.00338014214044,7.95892818700917,88.4400951248192,5.23978956485656e-21,1.60858764339288e-19
"Elapor2",-2.00606813964745,-1.86267879590603,32.7156907770128,1.06672630220421e-08,8.47711497975922e-08
"Actl6b",-2.00934128598589,-3.56268576823502,5.87867311456257,0.015325366811652,0.0417550773464551
"Bcl6",-2.01493520334557,4.37685836132474,25.4134374797962,4.62684001529575e-07,2.92550649414948e-06
"Them5",-2.0168870750965,-2.88418724332836,15.1642545191662,9.85514738151479e-05,0.000432733147712855
"Ces2a",-2.01902347070439,7.43258824823566,73.2725058915678,1.12930104467378e-17,2.5204167491438e-16
"Scnn1a",-2.02346174406732,4.12832762796956,115.640501805949,5.69759449568441e-27,3.05766964356574e-25
"D7Ertd143e",-2.02390818461974,0.0915661532573945,49.5450477022073,1.93868624519293e-12,2.4654865833041e-11
"Serpina1e",-2.02882732785346,12.4867975673154,148.124445082458,4.45582453880612e-34,3.86774541427174e-32
"Sugct",-2.03082455996572,4.43068076273548,79.1192806566002,5.84709018357193e-19,1.48426576818896e-17
"Dmrt2",-2.03519736088976,-3.1224510282144,10.1230246714198,0.00146428504057233,0.00512262119887535
"Keg1",-2.03857500131424,7.14088732174443,70.0567279285874,5.76232601284099e-17,1.20204908850127e-15
"E130008D07Rik",-2.04184116907265,-3.8752720176919,6.50086338156665,0.0107822121538275,0.0306622121573282
