gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
ENSG00000173198,667.37,-2.8,0.19,-14.73, 3.9e-49, 2.0e-48,CYSLTR1
ENSG00000173200,1477.21,-2.68,0.21,-12.86, 8.0e-38, 3.0e-37,PARP15
ENSG00000173207,471.65,1.61,0.1,16.43, 1.3e-60, 8.7e-60,CKS1B
ENSG00000173221,586.54,-2.94,0.33,-8.99, 2.4e-19, 5.5e-19,GLRX
ENSG00000173334,1369.18,2.05,0.25,8.29, 1.2e-16, 2.5e-16,TRIB1
ENSG00000173418,2975.55,1.68,0.06,25.96,1.3e-148,5.6e-147,NAA20
ENSG00000173442,2409.27,-2.61,0.31,-8.46, 2.6e-17, 5.7e-17,EHBP1L1
ENSG00000173457,6020.89,1.57,0.14,11.15, 7.2e-29, 2.2e-28,PPP1R14B
ENSG00000173465,1215.09,1.92,0.11,17.72, 2.7e-70, 2.4e-69,ZNRD2
ENSG00000173588,1402.41,2.31,0.14,17.06, 3.1e-65, 2.3e-64,CEP83
ENSG00000173638,1600.85,2.45,0.11,23.06,1.2e-117,3.0e-116,SLC19A1
ENSG00000173674,6119.5,1.79,0.11,16.15, 1.1e-58, 7.4e-58,EIF1AX
ENSG00000173692,10882.67,2.42,0.1,24.43,8.4e-132,2.7e-130,PSMD1
ENSG00000173744,10234.43,1.97,0.09,22.16,8.8e-109,1.8e-107,AGFG1
ENSG00000173917,533.82,-1.75,0.14,-12.76, 2.8e-37, 1.1e-36,HOXB2
ENSG00000174165,433.66,-2.1,0.17,-12.15, 5.9e-34, 2.0e-33,ZDHHC24
ENSG00000174177,1449.07,2,0.11,18.81, 6.4e-79, 6.7e-78,CTU2
ENSG00000174282,3033.25,-2.25,0.14,-15.75, 7.1e-56, 4.3e-55,ZBTB4
ENSG00000174371,102.34,2.91,0.25,11.63, 2.8e-31, 9.0e-31,EXO1
ENSG00000174437,18323.91,1.7,0.06,26.24,8.5e-152,3.8e-150,ATP2A2
ENSG00000174500,192.65,-2.52,0.19,-13.58, 5.6e-42, 2.4e-41,GCSAM
ENSG00000174501,691.07,-2.1,0.15,-14.05, 7.8e-45, 3.6e-44,ANKRD36C
ENSG00000174652,2151.95,-1.78,0.07,-26.44,4.5e-154,2.1e-152,ZNF266
ENSG00000174718,6680.03,-2.27,0.13,-17.14, 6.9e-66, 5.4e-65,RESF1
ENSG00000174738,1165.65,-2.43,0.14,-17.1, 1.6e-65, 1.2e-64,NR1D2
ENSG00000174749,3263.06,2.75,0.17,16.47, 5.6e-61, 3.9e-60,FAM241A
ENSG00000174851,2146.84,2.08,0.1,19.99, 6.1e-89, 7.9e-88,YIF1A
ENSG00000174996,2644.26,1.82,0.1,18.49, 2.5e-76, 2.5e-75,KLC2
